date,total_hosp,total_rea,new_hosp,new_dc,new_cases,roll_cases,roll_hosp,roll_dc
2021-01-20,25650,2842,1911,316,26784,19239.285714285714,1542,285.85714285714283
2021-01-21,25699,2866,1759,358,22848,19470.714285714286,1551.7142857142858,296.57142857142856
2021-01-22,25872,2902,1861,323,23292,19759.428571428572,1584.142857142857,301.57142857142856
2021-01-23,25864,2886,1174,231,23924,20119.14285714286,1580.5714285714287,306.57142857142856
2021-01-24,26357,2955,918,172,18436,20375.428571428572,1612,311
2021-01-25,26888,3031,1773,449,4240,20447.428571428572,1627.2857142857142,317.42857142857144
2021-01-26,27005,3071,2006,352,22086,20230,1628.857142857143,314.42857142857144
2021-01-27,27131,3097,1933,351,26916,20248.85714285714,1632,319.42857142857144
2021-01-28,27128,3101,1726,348,23770,20380.571428571428,1627.2857142857142,318
2021-01-29,27270,3120,1823,356,22858,20318.571428571428,1621.857142857143,322.7142857142857
2021-01-30,27242,3103,1176,242,24392,20385.428571428572,1622.142857142857,324.2857142857143
2021-01-31,27573,3148,816,195,19235,20499.571428571428,1607.5714285714287,327.57142857142856
2021-02-01,27874,3218,1750,456,4347,20514.85714285714,1604.2857142857142,328.57142857142856
2021-02-02,28029,3270,2189,404,23337,20693.571428571428,1630.4285714285713,336
2021-02-03,27953,3267,1882,358,26362,20614.428571428572,1623.142857142857,337
2021-02-04,27766,3240,1752,360,23448,20568.428571428572,1626.857142857143,338.7142857142857
2021-02-05,27572,3235,1719,296,22139,20465.714285714286,1612,330.14285714285717
2021-02-06,27327,3215,1126,191,20586,19922,1604.857142857143,322.85714285714283
2021-02-07,27652,3262,790,171,19715,19990.571428571428,1601.142857142857,319.42857142857144
2021-02-08,27995,3353,1893,460,4317,19986.285714285714,1621.5714285714287,320
2021-02-09,27634,3332,1931,439,18870,19348.14285714286,1584.7142857142858,325
2021-02-10,27417,3309,1525,297,25387,19208.85714285714,1533.7142857142858,316.2857142857143
2021-02-11,26963,3327,1618,371,21063,18868.14285714286,1514.5714285714287,317.85714285714283
2021-02-12,26424,3298,1405,320,20701,18662.714285714286,1469.7142857142858,321.2857142857143
2021-02-13,26196,3294,1085,199,21231,18754.85714285714,1463.857142857143,322.42857142857144
2021-02-14,26401,3299,651,167,16546,18302.14285714286,1444,321.85714285714283
2021-02-15,26478,3371,1431,413,4376,18310.571428571428,1378,315.14285714285717
2021-02-16,26195,3338,1857,352,19590,18413.428571428572,1367.4285714285713,302.7142857142857
2021-02-17,25929,3340,1559,311,25018,18360.714285714286,1372.2857142857142,304.7142857142857
2021-02-18,25717,3384,1490,272,22501,18566.14285714286,1354,290.57142857142856
2021-02-19,25506,3380,1543,328,24116,19054,1373.7142857142858,291.7142857142857
2021-02-20,25269,3369,1029,183,22371,19216.85714285714,1365.7142857142858,289.42857142857144
2021-02-21,25464,3392,593,160,22046,20002.571428571428,1357.4285714285713,288.42857142857144
2021-02-22,25831,3407,1529,334,4646,20041.14285714286,1371.4285714285713,277.14285714285717
2021-02-23,25660,3435,1780,314,20064,20108.85714285714,1360.4285714285713,271.7142857142857
2021-02-24,25614,3436,1636,278,31519,21037.571428571428,1371.4285714285713,267
2021-02-25,25317,3430,1454,261,25403,21452.14285714286,1366.2857142857142,265.42857142857144
2021-02-26,25130,3445,1634,286,25207,21608,1379.2857142857142,259.42857142857144
2021-02-27,24989,3453,1007,186,23996,21840.14285714286,1376.142857142857,259.85714285714283
2021-02-28,25280,3492,728,122,19952,21541,1395.4285714285713,254.42857142857142
2021-03-01,25430,3544,1393,379,4703,21549.14285714286,1376,260.85714285714283
2021-03-02,25263,3586,1705,301,22857,21948.14285714286,1365.2857142857142,259
2021-03-03,25111,3637,1622,326,26788,21272.285714285714,1363.2857142857142,265.85714285714283
2021-03-04,24891,3633,1538,295,25279,21254.571428571428,1375.2857142857142,270.7142857142857
2021-03-05,24765,3680,1397,239,23507,21011.714285714286,1341.4285714285713,264
2021-03-06,24625,3689,1097,173,23306,20913.14285714286,1354.2857142857142,262.14285714285717
2021-03-07,24818,3743,720,130,21825,21180.714285714286,1353.142857142857,263.2857142857143
2021-03-08,25195,3849,1584,360,5327,21269.85714285714,1380.4285714285713,260.57142857142856
2021-03-09,25201,3918,1810,299,23302,21333.428571428572,1395.4285714285713,260.2857142857143
